"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-04-27,"BC","Fraser","Fraser East",9,10.43
2020-04-27,"BC","Fraser","Fraser North",8,8.14
2020-04-27,"BC","Fraser","Fraser South",18,9
2020-04-27,"BC","Fraser","Unknown",0,0
2020-04-27,"BC","Interior","All",3,2.71
2020-04-27,"BC","Interior","East Kootenay",0,0.29
2020-04-27,"BC","Interior","Kootenay Boundary",0,0
2020-04-27,"BC","Interior","Okanagan",3,1.71
2020-04-27,"BC","Interior","Thompson Cariboo Shuswap",0,0.71
2020-04-27,"BC","Northern","All",3,0.71
2020-04-27,"BC","Northern","Northeast",0,0.14
2020-04-27,"BC","Northern","Northern Interior",3,0.57
2020-04-27,"BC","Northern","Northwest",0,0
2020-04-27,"BC","Northern","Unknown",0,0
2020-04-27,"BC","Vancouver Coastal","All",13,14
2020-04-27,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,4
2020-04-27,"BC","Vancouver Coastal","Richmond",2,0.43
2020-04-27,"BC","Vancouver Coastal","Unknown",0,0
2020-04-27,"BC","Vancouver Coastal","Vancouver",10,9.57
2020-04-27,"BC","Vancouver Island","All",3,1.71
2020-04-27,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-27,"BC","Vancouver Island","North Vancouver Island",3,1.29
2020-04-27,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-27,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2020-04-28,"BC","All","All",30,43.43
2020-04-28,"BC","Fraser","All",22,28.29
2020-04-28,"BC","Fraser","Fraser East",14,11.86
2020-04-28,"BC","Fraser","Fraser North",5,7.71
2020-04-28,"BC","Fraser","Fraser South",3,8.71
2020-04-28,"BC","Fraser","Unknown",0,0
2020-04-28,"BC","Interior","All",2,2.86
2020-04-28,"BC","Interior","East Kootenay",0,0.29
2020-04-28,"BC","Interior","Kootenay Boundary",0,0
2020-04-28,"BC","Interior","Okanagan",2,2
2020-04-28,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-04-28,"BC","Northern","All",1,0.86
2020-04-28,"BC","Northern","Northeast",0,0.14
2020-04-28,"BC","Northern","Northern Interior",1,0.71
2020-04-28,"BC","Northern","Northwest",0,0
2020-04-28,"BC","Northern","Unknown",0,0
2020-04-28,"BC","Vancouver Coastal","All",4,9.57
2020-04-28,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,3.57
2020-04-28,"BC","Vancouver Coastal","Richmond",0,0.43
2020-04-28,"BC","Vancouver Coastal","Unknown",0,0
2020-04-28,"BC","Vancouver Coastal","Vancouver",2,5.57
2020-04-28,"BC","Vancouver Island","All",1,1.86
2020-04-28,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-28,"BC","Vancouver Island","North Vancouver Island",1,1.43
2020-04-28,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-28,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-04-29,"BC","All","All",29,43.14
2020-04-29,"BC","Fraser","All",24,30
2020-04-29,"BC","Fraser","Fraser East",15,13.43
2020-04-29,"BC","Fraser","Fraser North",7,8.29
2020-04-29,"BC","Fraser","Fraser South",2,8.29
2020-04-29,"BC","Fraser","Unknown",0,0
2020-04-29,"BC","Interior","All",2,2.29
2020-04-29,"BC","Interior","East Kootenay",0,0.14
2020-04-29,"BC","Interior","Kootenay Boundary",0,0
2020-04-29,"BC","Interior","Okanagan",1,1.57
2020-04-29,"BC","Interior","Thompson Cariboo Shuswap",1,0.57
2020-04-29,"BC","Northern","All",0,0.57
2020-04-29,"BC","Northern","Northeast",0,0
2020-04-29,"BC","Northern","Northern Interior",0,0.57
2020-04-29,"BC","Northern","Northwest",0,0
2020-04-29,"BC","Northern","Unknown",0,0
2020-04-29,"BC","Vancouver Coastal","All",3,8.71
2020-04-29,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,3
2020-04-29,"BC","Vancouver Coastal","Richmond",0,0.43
2020-04-29,"BC","Vancouver Coastal","Unknown",0,0
2020-04-29,"BC","Vancouver Coastal","Vancouver",3,5.29
2020-04-29,"BC","Vancouver Island","All",0,1.57
2020-04-29,"BC","Vancouver Island","Central Vancouver Island",0,0.43
2020-04-29,"BC","Vancouver Island","North Vancouver Island",0,1.14
2020-04-29,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-29,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-04-30,"BC","All","All",29,38.57
2020-04-30,"BC","Fraser","All",11,25.71
2020-04-30,"BC","Fraser","Fraser East",4,10.29
2020-04-30,"BC","Fraser","Fraser North",2,7.29
2020-04-30,"BC","Fraser","Fraser South",5,8.14
2020-04-30,"BC","Fraser","Unknown",0,0
2020-04-30,"BC","Interior","All",5,2.43
2020-04-30,"BC","Interior","East Kootenay",0,0.14
2020-04-30,"BC","Interior","Kootenay Boundary",0,0
2020-04-30,"BC","Interior","Okanagan",2,1.57
2020-04-30,"BC","Interior","Thompson Cariboo Shuswap",3,0.71
2020-04-30,"BC","Northern","All",3,1
2020-04-30,"BC","Northern","Northeast",0,0
2020-04-30,"BC","Northern","Northern Interior",3,1
2020-04-30,"BC","Northern","Northwest",0,0
2020-04-30,"BC","Northern","Unknown",0,0
2020-04-30,"BC","Vancouver Coastal","All",9,8.29
2020-04-30,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,2.43
2020-04-30,"BC","Vancouver Coastal","Richmond",2,0.71
2020-04-30,"BC","Vancouver Coastal","Unknown",0,0
2020-04-30,"BC","Vancouver Coastal","Vancouver",6,5.14
2020-04-30,"BC","Vancouver Island","All",1,1.14
2020-04-30,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-04-30,"BC","Vancouver Island","North Vancouver Island",1,1
2020-04-30,"BC","Vancouver Island","South Vancouver Island",0,0
2020-04-30,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-05-01,"BC","All","All",34,33.43
2020-05-01,"BC","Fraser","All",27,21.57
2020-05-01,"BC","Fraser","Fraser East",8,7.86
2020-05-01,"BC","Fraser","Fraser North",4,5.57
2020-05-01,"BC","Fraser","Fraser South",15,8.14
2020-05-01,"BC","Fraser","Unknown",0,0
2020-05-01,"BC","Interior","All",1,2.14
2020-05-01,"BC","Interior","East Kootenay",0,0
2020-05-01,"BC","Interior","Kootenay Boundary",1,0.14
2020-05-01,"BC","Interior","Okanagan",0,1.29
2020-05-01,"BC","Interior","Thompson Cariboo Shuswap",0,0.71
2020-05-01,"BC","Northern","All",0,1
2020-05-01,"BC","Northern","Northeast",0,0
2020-05-01,"BC","Northern","Northern Interior",0,1
2020-05-01,"BC","Northern","Northwest",0,0
2020-05-01,"BC","Northern","Unknown",0,0
2020-05-01,"BC","Vancouver Coastal","All",4,7.43
2020-05-01,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",3,2.43
2020-05-01,"BC","Vancouver Coastal","Richmond",1,0.86
2020-05-01,"BC","Vancouver Coastal","Unknown",0,0
2020-05-01,"BC","Vancouver Coastal","Vancouver",0,4.14
2020-05-01,"BC","Vancouver Island","All",2,1.29
2020-05-01,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-05-01,"BC","Vancouver Island","North Vancouver Island",2,1.14
2020-05-01,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-01,"Out of Canada","Out of Canada","Out of Canada",1,0.29
2020-05-02,"BC","All","All",23,32.29
2020-05-02,"BC","Fraser","All",11,21.57
2020-05-02,"BC","Fraser","Fraser East",6,8.29
2020-05-02,"BC","Fraser","Fraser North",3,5.43
2020-05-02,"BC","Fraser","Fraser South",2,7.86
2020-05-02,"BC","Fraser","Unknown",0,0
2020-05-02,"BC","Interior","All",1,2.14
2020-05-02,"BC","Interior","East Kootenay",1,0.14
2020-05-02,"BC","Interior","Kootenay Boundary",0,0.14
2020-05-02,"BC","Interior","Okanagan",0,1.14
2020-05-02,"BC","Interior","Thompson Cariboo Shuswap",0,0.71
2020-05-02,"BC","Northern","All",1,1.14
2020-05-02,"BC","Northern","Northeast",0,0
2020-05-02,"BC","Northern","Northern Interior",1,1.14
2020-05-02,"BC","Northern","Northwest",0,0
2020-05-02,"BC","Northern","Unknown",0,0
2020-05-02,"BC","Vancouver Coastal","All",9,6.14
2020-05-02,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,1.43
2020-05-02,"BC","Vancouver Coastal","Richmond",0,0.71
2020-05-02,"BC","Vancouver Coastal","Unknown",0,0
2020-05-02,"BC","Vancouver Coastal","Vancouver",7,4
2020-05-02,"BC","Vancouver Island","All",1,1.29
2020-05-02,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-02,"BC","Vancouver Island","North Vancouver Island",1,1.29
2020-05-02,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-02,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-05-03,"BC","All","All",17,31.29
2020-05-03,"BC","Fraser","All",11,20.14
2020-05-03,"BC","Fraser","Fraser East",4,8.57
2020-05-03,"BC","Fraser","Fraser North",5,4.86
2020-05-03,"BC","Fraser","Fraser South",2,6.71
2020-05-03,"BC","Fraser","Unknown",0,0
2020-05-03,"BC","Interior","All",0,2
2020-05-03,"BC","Interior","East Kootenay",0,0.14
2020-05-03,"BC","Interior","Kootenay Boundary",0,0.14
2020-05-03,"BC","Interior","Okanagan",0,1.14
2020-05-03,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-03,"BC","Northern","All",1,1.29
2020-05-03,"BC","Northern","Northeast",1,0.14
2020-05-03,"BC","Northern","Northern Interior",0,1.14
2020-05-03,"BC","Northern","Northwest",0,0
2020-05-03,"BC","Northern","Unknown",0,0
2020-05-03,"BC","Vancouver Coastal","All",5,6.71
2020-05-03,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,1.43
2020-05-03,"BC","Vancouver Coastal","Richmond",1,0.86
2020-05-03,"BC","Vancouver Coastal","Unknown",0,0
2020-05-03,"BC","Vancouver Coastal","Vancouver",3,4.43
2020-05-03,"BC","Vancouver Island","All",0,1.14
2020-05-03,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-03,"BC","Vancouver Island","North Vancouver Island",0,1.14
2020-05-03,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-03,"Out of Canada","Out of Canada","Out of Canada",1,0.43
2020-05-04,"BC","All","All",23,26.43
2020-05-04,"BC","Fraser","All",21,18.14
2020-05-04,"BC","Fraser","Fraser East",11,8.86
2020-05-04,"BC","Fraser","Fraser North",3,4.14
2020-05-04,"BC","Fraser","Fraser South",7,5.14
2020-05-04,"BC","Fraser","Unknown",0,0
2020-05-04,"BC","Interior","All",0,1.57
2020-05-04,"BC","Interior","East Kootenay",0,0.14
2020-05-04,"BC","Interior","Kootenay Boundary",0,0.14
2020-05-04,"BC","Interior","Okanagan",0,0.71
2020-05-04,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-04,"BC","Northern","All",0,0.86
2020-05-04,"BC","Northern","Northeast",0,0.14
2020-05-04,"BC","Northern","Northern Interior",0,0.71
2020-05-04,"BC","Northern","Northwest",0,0
2020-05-04,"BC","Northern","Unknown",0,0
2020-05-04,"BC","Vancouver Coastal","All",2,5.14
2020-05-04,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,1.57
2020-05-04,"BC","Vancouver Coastal","Richmond",0,0.57
2020-05-04,"BC","Vancouver Coastal","Unknown",0,0
2020-05-04,"BC","Vancouver Coastal","Vancouver",0,3
2020-05-04,"BC","Vancouver Island","All",0,0.71
2020-05-04,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-04,"BC","Vancouver Island","North Vancouver Island",0,0.71
2020-05-04,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-04,"Out of Canada","Out of Canada","Out of Canada",1,0.43
2020-05-05,"BC","All","All",25,25.71
2020-05-05,"BC","Fraser","All",16,17.29
2020-05-05,"BC","Fraser","Fraser East",5,7.57
2020-05-05,"BC","Fraser","Fraser North",3,3.86
2020-05-05,"BC","Fraser","Fraser South",8,5.86
2020-05-05,"BC","Fraser","Unknown",0,0
2020-05-05,"BC","Interior","All",1,1.43
2020-05-05,"BC","Interior","East Kootenay",0,0.14
2020-05-05,"BC","Interior","Kootenay Boundary",0,0.14
2020-05-05,"BC","Interior","Okanagan",1,0.57
2020-05-05,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-05,"BC","Northern","All",3,1.14
2020-05-05,"BC","Northern","Northeast",0,0.14
2020-05-05,"BC","Northern","Northern Interior",3,1
2020-05-05,"BC","Northern","Northwest",0,0
2020-05-05,"BC","Northern","Unknown",0,0
2020-05-05,"BC","Vancouver Coastal","All",5,5.29
2020-05-05,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,1.29
2020-05-05,"BC","Vancouver Coastal","Richmond",2,0.86
2020-05-05,"BC","Vancouver Coastal","Unknown",0,0
2020-05-05,"BC","Vancouver Coastal","Vancouver",3,3.14
2020-05-05,"BC","Vancouver Island","All",0,0.57
2020-05-05,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-05,"BC","Vancouver Island","North Vancouver Island",0,0.57
2020-05-05,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-05,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-05-06,"BC","All","All",16,23.86
2020-05-06,"BC","Fraser","All",7,14.86
2020-05-06,"BC","Fraser","Fraser East",4,6
2020-05-06,"BC","Fraser","Fraser North",1,3
2020-05-06,"BC","Fraser","Fraser South",2,5.86
2020-05-06,"BC","Fraser","Unknown",0,0
2020-05-06,"BC","Interior","All",1,1.29
2020-05-06,"BC","Interior","East Kootenay",0,0.14
2020-05-06,"BC","Interior","Kootenay Boundary",0,0.14
2020-05-06,"BC","Interior","Okanagan",0,0.43
2020-05-06,"BC","Interior","Thompson Cariboo Shuswap",1,0.57
2020-05-06,"BC","Northern","All",0,1.14
2020-05-06,"BC","Northern","Northeast",0,0.14
2020-05-06,"BC","Northern","Northern Interior",0,1
2020-05-06,"BC","Northern","Northwest",0,0
2020-05-06,"BC","Northern","Unknown",0,0
2020-05-06,"BC","Vancouver Coastal","All",8,6
2020-05-06,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,1.57
2020-05-06,"BC","Vancouver Coastal","Richmond",0,0.86
2020-05-06,"BC","Vancouver Coastal","Unknown",0,0
2020-05-06,"BC","Vancouver Coastal","Vancouver",6,3.57
2020-05-06,"BC","Vancouver Island","All",0,0.57
2020-05-06,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-06,"BC","Vancouver Island","North Vancouver Island",0,0.57
2020-05-06,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-06,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-05-07,"BC","All","All",24,23.14
2020-05-07,"BC","Fraser","All",14,15.29
2020-05-07,"BC","Fraser","Fraser East",9,6.71
2020-05-07,"BC","Fraser","Fraser North",1,2.86
2020-05-07,"BC","Fraser","Fraser South",4,5.71
2020-05-07,"BC","Fraser","Unknown",0,0
2020-05-07,"BC","Interior","All",1,0.71
2020-05-07,"BC","Interior","East Kootenay",0,0.14
2020-05-07,"BC","Interior","Kootenay Boundary",0,0.14
2020-05-07,"BC","Interior","Okanagan",1,0.29
2020-05-07,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-05-07,"BC","Northern","All",1,0.86
2020-05-07,"BC","Northern","Northeast",0,0.14
2020-05-07,"BC","Northern","Northern Interior",1,0.71
2020-05-07,"BC","Northern","Northwest",0,0
2020-05-07,"BC","Northern","Unknown",0,0
2020-05-07,"BC","Vancouver Coastal","All",7,5.71
2020-05-07,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,1.57
2020-05-07,"BC","Vancouver Coastal","Richmond",0,0.57
2020-05-07,"BC","Vancouver Coastal","Unknown",0,0
2020-05-07,"BC","Vancouver Coastal","Vancouver",6,3.57
2020-05-07,"BC","Vancouver Island","All",1,0.57
2020-05-07,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-07,"BC","Vancouver Island","North Vancouver Island",1,0.57
2020-05-07,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-07,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-05-08,"BC","All","All",14,20.29
2020-05-08,"BC","Fraser","All",10,12.86
2020-05-08,"BC","Fraser","Fraser East",5,6.29
2020-05-08,"BC","Fraser","Fraser North",2,2.57
2020-05-08,"BC","Fraser","Fraser South",3,4
2020-05-08,"BC","Fraser","Unknown",0,0
2020-05-08,"BC","Interior","All",0,0.57
2020-05-08,"BC","Interior","East Kootenay",0,0.14
2020-05-08,"BC","Interior","Kootenay Boundary",0,0
2020-05-08,"BC","Interior","Okanagan",0,0.29
2020-05-08,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-05-08,"BC","Northern","All",1,1
2020-05-08,"BC","Northern","Northeast",0,0.14
2020-05-08,"BC","Northern","Northern Interior",1,0.86
2020-05-08,"BC","Northern","Northwest",0,0
2020-05-08,"BC","Northern","Unknown",0,0
2020-05-08,"BC","Vancouver Coastal","All",3,5.57
2020-05-08,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,1.14
2020-05-08,"BC","Vancouver Coastal","Richmond",0,0.43
2020-05-08,"BC","Vancouver Coastal","Unknown",0,0
2020-05-08,"BC","Vancouver Coastal","Vancouver",3,4
2020-05-08,"BC","Vancouver Island","All",0,0.29
2020-05-08,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-08,"BC","Vancouver Island","North Vancouver Island",0,0.29
2020-05-08,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-08,"Out of Canada","Out of Canada","Out of Canada",0,0.29
2020-05-09,"BC","All","All",13,18.86
2020-05-09,"BC","Fraser","All",13,13.14
2020-05-09,"BC","Fraser","Fraser East",3,5.86
2020-05-09,"BC","Fraser","Fraser North",4,2.71
2020-05-09,"BC","Fraser","Fraser South",6,4.57
2020-05-09,"BC","Fraser","Unknown",0,0
2020-05-09,"BC","Interior","All",0,0.43
2020-05-09,"BC","Interior","East Kootenay",0,0
2020-05-09,"BC","Interior","Kootenay Boundary",0,0
2020-05-09,"BC","Interior","Okanagan",0,0.29
2020-05-09,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-05-09,"BC","Northern","All",0,0.86
2020-05-09,"BC","Northern","Northeast",0,0.14
2020-05-09,"BC","Northern","Northern Interior",0,0.71
2020-05-09,"BC","Northern","Northwest",0,0
2020-05-09,"BC","Northern","Unknown",0,0
2020-05-09,"BC","Vancouver Coastal","All",0,4.29
2020-05-09,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.86
2020-05-09,"BC","Vancouver Coastal","Richmond",0,0.43
2020-05-09,"BC","Vancouver Coastal","Unknown",0,0
2020-05-09,"BC","Vancouver Coastal","Vancouver",0,3
2020-05-09,"BC","Vancouver Island","All",0,0.14
2020-05-09,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-09,"BC","Vancouver Island","North Vancouver Island",0,0.14
